federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
012-0129,"Office of the Under Secretary for Food, Nutrition and Consumer Services",Department of Agriculture,Agriculture,Agricultural research and services,264381.55,10909.76,814000.00,0.00,0.00,70761.98,70761.98,1160053.29,758271.05,35442.82,401782.24,717946.84,1160053.29
012-3701,Office of the Under Secretary for Food Safety,Department of Agriculture,Agriculture,Agricultural research and services,210912.30,20798.21,819000.00,0.00,0.00,0.00,0.00,1050710.51,587066.00,36485.83,463644.51,602197.71,1050710.51
070-0111,"Office of the Under Secretary for Management, Departmental Management and Operations, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,113872457.30,12031368.58,0.00,0.00,0.00,-706166.13,-706166.13,125197659.75,17624455.69,17733351.84,107573204.06,105262332.08,125197659.75
012-0125,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,365190.59,13389.91,901000.00,0.00,0.00,-27821.12,-27821.12,1251759.38,844913.51,37622.28,406845.87,871336.84,1251759.38
012-0124,"Office of the Under Secretary for Research, Education and Economics",Department of Agriculture,Agriculture,Agricultural research and services,323908.57,71521.18,893000.00,0.00,0.00,3008523.23,3008523.23,4296952.98,3960550.76,97582.04,336402.22,3299567.94,4296952.98
012-0127,Office of the Under Secretary for Rural Development,Department of Agriculture,Agriculture,Agricultural research and services,177741.56,17822.71,896000.00,0.00,0.00,229456.00,229456.00,1321020.27,928627.99,51364.75,392392.28,1454903.05,1321020.27
012-0131,"Office of Tribal Relations, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,25144.91,-23066.17,0.00,0.00,0.00,0.00,0.00,2078.74,0.00,0.00,2078.74,0.00,2078.74
014-1700,"Offshore Safety and Environmental Enforcement, Bureau of Safety and Environmental Enforcement, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,80887602.29,8853923.55,88594530.49,0.00,0.00,104721580.64,104721580.64,283057636.97,240681052.54,9327205.83,42376584.43,245646890.17,283057636.97
069-0502,"Off-System Roads, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
070-8185,"Oil Spill Liability Trust Fund-Treasury Managed, Homeland Security",Department of Homeland Security,Natural Resources and Environment,Pollution control and abatement,0.00,0.00,112050.00,0.00,0.00,0.00,0.00,112050.00,112050.00,0.00,0.00,112050.00,112050.00
070-8349,"Oil Spill Recovery, USCG, Homeland Security",Department of Homeland Security,Natural Resources and Environment,Pollution control and abatement,124911977.81,8009709.21,50691258.00,0.00,0.00,0.00,0.00,183612945.02,32609771.39,8009709.21,151003173.63,31195935.68,183612945.02
014-1920,"Oil Spill Research, Bureau of Safety and Environmental Enforcement",Department of the Interior,Natural Resources and Environment,Conservation and land management,0.40,103435.15,0.00,0.00,0.00,0.00,0.00,103435.55,0.00,103435.15,103435.55,3873.17,103435.55
014-8370,"Oil Spill Research, Bureau of Safety and Environmental Enforcement, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,4593595.09,756309.49,14899000.00,0.00,0.00,414073.30,414073.30,20662977.88,15455523.07,756309.49,5207454.81,14747428.53,20662977.88
014-5612,"Ojito Land Acquisition, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,324976.00,0.00,0.00,0.00,0.00,0.00,0.00,324976.00,0.00,0.00,324976.00,0.00,324976.00
069-0570,"Oklahoma Highway Widening Demonstration Project, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
485-2728,"Operating Expenses, Corporation for National and Community Service",Corporation for National and Community Service,"Education, Training, Employment, and Social Services",Social services,84152951.31,16037635.77,736029000.00,0.00,0.00,25039734.40,25039734.40,861259321.48,772955414.57,36379094.01,88303906.91,744051637.50,861259321.48
047-0110,"Operating Expenses, General Services Administration",General Services Administration,General Government,General property and records management,14781927.11,-1063041.76,58541000.00,0.00,0.00,7209247.73,7209247.73,79469133.08,63465489.14,564669.37,16003643.94,58626280.42,79469133.08
070-0900,"Operating Expenses, Information Analysis and Infrastructure Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,508800.84,0.00,0.00,0.00,0.00,0.00,0.00,508800.84,0.00,0.00,508800.84,0.00,508800.84
088-0300,"Operating Expenses, National Archives and Records Administration",National Archives and Records Administration,General Government,General property and records management,25751094.76,-554174.68,380634000.00,0.00,0.00,2047075.38,2047075.38,407877995.46,387705079.79,4554510.71,20172915.67,391976494.29,407877995.46
011-0211,"Operating Expenses, Official Residence of the Vice President, Executive Office of the President",,General Government,Executive direction and management,302880.86,-26893.20,299000.00,0.00,0.00,0.00,0.00,574987.66,261395.66,13800.02,313592.00,208984.20,574987.66
021-2090,"Operating Expenses of the Coalition Provisional Authority, Army",Department of the Army,International Affairs,International development and humanitarian assistance,0.00,38785.00,0.00,0.00,0.00,0.00,0.00,38785.00,38785.00,38785.00,0.00,40397.62,38785.00
072-1000,"Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President",Agency for International Development,International Affairs,International development and humanitarian assistance,249739749.17,104660146.90,1363189000.00,0.00,0.00,43901144.38,43901144.38,1761490040.45,1478327444.31,110331611.55,283162596.14,1381687851.18,1761490040.45
072-1007,"Operating Expenses of the United States Agency for International Development, Office of the Inspector General, Funds Appropriated to the President",Agency for International Development,International Affairs,International development and humanitarian assistance,22838288.78,4716824.91,70100000.00,0.00,0.00,7735702.35,7735702.35,105390816.04,81748099.04,5325169.51,23642717.00,88408289.98,105390816.04
070-0610,"Operating Expenses, United States Coast Guard, Homeland Security",Department of Homeland Security,Transportation,Water transportation,213651957.93,95636690.69,7038820702.00,0.00,0.00,231434497.66,231434497.66,7579543848.28,7371175809.88,167431688.78,208368038.40,7152056041.49,7579543848.28
376-1300,"Operating Expenses, United States Interagency Council on Homelessness",U.S. Interagency Council on Homelessness,General Government,Other general government,312743.61,224304.54,3600000.00,0.00,0.00,0.00,0.00,4137048.15,3604682.45,270185.32,532365.70,3242031.34,4137048.15
069-0121,"Operating Grants to the National Railroad Passenger Corporation, Federal Railroad Administration, Transportation",Department of Transportation,Transportation,Ground transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
097-0460,"Operational Test and Evaluation, Defense",Department of Defense,National Defense,Department of Defense-Military,26237298.65,8477518.97,188654000.00,0.00,0.00,0.00,0.00,223368817.62,190461009.57,10584811.61,32907808.05,177872844.13,223368817.62
057-3400,"Operation and Maintenance, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,2828219069.99,1312941507.40,48989614482.00,0.00,0.00,2956883530.31,2956883530.31,56087658589.70,53353699955.50,2516253544.81,2733958634.20,48882650389.85,56087658589.70
057-3740,"Operation and Maintenance, Air Force Reserve",Department of the Air Force,National Defense,Department of Defense-Military,183513553.73,184011977.89,3204881000.00,0.00,0.00,159683406.55,159683406.55,3732089938.17,3526828957.49,226808028.92,205260980.68,3222517197.50,3732089938.17
057-3840,"Operation and Maintenance, Air National Guard",Department of the Air Force,National Defense,Department of Defense-Military,322174951.30,244815636.90,6586170113.00,0.00,0.00,873804266.25,873804266.25,8026964967.45,7597777830.38,292945311.91,429187137.07,7406814747.18,8026964967.45
089-0304,"Operation and Maintenance, Alaska Power Administration, Power Marketing Administration, Energy",Department of Energy,Energy,Energy supply,300006.00,0.00,0.00,0.00,0.00,0.00,0.00,300006.00,0.00,0.00,300006.00,3695.22,300006.00
021-2020,"Operation and Maintenance, Army",Department of the Army,National Defense,Department of Defense-Military,9983337831.45,2270872573.28,52684141852.00,0.00,0.00,8478307556.40,8478307556.40,73416659813.13,65180628936.94,6216040720.41,8236030876.19,58332216746.11,73416659813.13
021-2065,"Operation and Maintenance, Army National Guard",Department of the Army,National Defense,Department of Defense-Military,615313864.06,307428330.98,7077033242.00,0.00,0.00,102937326.34,102937326.34,8102712763.38,7460672060.26,526970100.12,642040703.12,6660067718.69,8102712763.38
021-2080,"Operation and Maintenance, Army Reserve",Department of the Army,National Defense,Department of Defense-Military,289201719.22,133659698.28,2736408000.00,0.00,0.00,6438717.35,6438717.35,3165708134.85,2883465403.99,256240912.09,282242730.86,2773456233.65,3165708134.85
096-3123,"Operation and Maintenance, Corps of Engineers-Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,730960023.40,75861517.36,2364870135.36,0.00,0.00,1423855996.99,1423855996.99,4595547673.11,3584582091.18,75861517.36,1010965581.93,3531598291.06,4595547673.11
097-0100,"Operation and Maintenance, Defense-Wide, Defense",Department of Defense,National Defense,Department of Defense-Military,5023867154.41,2677509214.62,39994874431.00,0.00,0.00,2076536903.53,2076536903.53,49772787703.56,44053932784.71,3708749082.73,5718854918.85,40357681289.28,49772787703.56
014-5240,"Operation and Maintenance, Indian Irrigation Systems, Bureau of Indian Affairs (T)",Department of the Interior,Community and Regional Development,Area and regional development,39205095.79,828531.55,34993697.23,0.00,0.00,0.00,0.00,75027324.57,32795242.41,828531.55,42232082.16,33760087.64,75027324.57
017-1106,"Operation and Maintenance, Marine Corps",Department of the Navy,National Defense,Department of Defense-Military,549516540.15,162863830.04,7716859365.00,0.00,0.00,271714365.35,271714365.35,8700954100.54,8255082294.70,420813543.29,445871805.84,7558221423.16,8700954100.54
017-1107,"Operation and Maintenance, Marine Corps Reserve",Department of the Navy,National Defense,Department of Defense-Military,34880539.87,13402175.55,274117000.00,0.00,0.00,1566329.07,1566329.07,323966044.49,294858140.95,32671505.44,29107903.54,284150171.99,323966044.49
017-1804,"Operation and Maintenance, Navy",Department of the Navy,National Defense,Department of Defense-Military,3691643709.81,2079401012.72,47846294972.00,0.00,0.00,4762596967.99,4762596967.99,58379936662.52,54449240341.49,2943416918.99,3930696321.03,50633141730.34,58379936662.52
017-1806,"Operation and Maintenance, Navy Reserve",Department of the Navy,National Defense,Department of Defense-Military,145096903.09,8930631.58,950390000.00,0.00,0.00,2861661.12,2861661.12,1107279195.79,988346676.82,75188302.98,118932518.97,895755032.00,1107279195.79
014-5051,"Operation and Maintenance of Quarters, Bureau of Indian Affairs",Department of the Interior,Community and Regional Development,Area and regional development,5898483.19,108328.07,5774564.12,0.00,0.00,0.00,0.00,11781375.38,5942719.21,108328.07,5838656.17,5545531.43,11781375.38
014-5048,"Operation and Maintenance of Quarters, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,1259092.27,274.16,812184.17,0.00,0.00,0.00,0.00,2071550.60,705076.97,274.16,1366473.63,662453.42,2071550.60
014-5053,"Operation and Maintenance of Quarters, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,862144.03,0.00,346458.81,0.00,0.00,0.00,0.00,1208602.84,435779.95,0.00,772822.89,435779.95,1208602.84
012-5219,"Operation and Maintenance of Quarters, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,18351363.36,90641.95,9178953.68,0.00,0.00,0.00,0.00,27620958.99,7768450.64,90641.95,19852508.35,7223457.40,27620958.99
014-5055,"Operation and Maintenance of Quarters, Geological Survey",Department of the Interior,Natural Resources and Environment,Other natural resources,214433.48,0.00,48699.73,0.00,0.00,0.00,0.00,263133.21,48263.28,0.00,214869.93,25116.28,263133.21
075-5071,"Operation and Maintenance of Quarters, Indian Health Services, Health and Human Services",Department of Health and Human Services,Health,Health care services,8832005.39,469943.61,7725690.50,0.00,0.00,1259.26,1259.26,17028898.76,7085323.44,469943.61,9943575.32,9373190.78,17028898.76
014-5049,"Operation and Maintenance of Quarters, National Park Service",Department of the Interior,Natural Resources and Environment,Recreational resources,10183145.74,297812.37,21895054.64,0.00,0.00,0.00,0.00,32376012.75,20520046.66,297812.37,11855966.09,20979046.19,32376012.75
